detail,kind,node_id,source_path,theorem
FAILED action has r_env=1.0,failed_full_r_env,action_13,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
FAILED action has r_env=1.0,failed_full_r_env,action_14,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
FAILED action has r_env=1.0,failed_full_r_env,action_16,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
FAILED action has r_env=1.0,failed_full_r_env,action_19,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
FAILED action has r_env=1.0,failed_full_r_env,action_20,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
FAILED action has r_env=1.0,failed_full_r_env,action_21,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
FAILED action has r_env=1.0,failed_full_r_env,action_22,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
FAILED action has r_env=1.0,failed_full_r_env,action_24,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_25,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_26,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_27,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_28,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_29,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_30,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_31,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_32,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_33,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_34,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_35,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_36,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_49,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_50,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_51,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_52,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_135,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_136,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_137,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_138,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_139,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_140,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_141,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_142,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_143,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_144,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_145,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
action has empty extracted_lean_code,missing_extracted_code,action_146,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p2.json,aime_1983_p2.json
FAILED action has r_env=1.0,failed_full_r_env,action_26,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_27,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_28,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_29,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_30,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_31,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_32,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_33,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_34,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_35,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_36,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_37,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
action has empty extracted_lean_code,missing_extracted_code,action_99,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_124,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_125,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_126,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_127,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_128,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_129,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_130,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_131,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_132,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_133,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_134,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_135,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
action has empty extracted_lean_code,missing_extracted_code,action_160,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
action has empty extracted_lean_code,missing_extracted_code,action_289,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_377,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_379,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_380,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_382,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_384,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_385,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_387,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_388,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_495,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_500,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_501,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_503,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
length=2; goals=; edges=edge_placeholder ; edge_placeholder,cycle_detected,state_78 -> action_370,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
length=2; goals=; edges=edge_placeholder ; edge_placeholder,cycle_detected,state_78 -> action_372,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
length=2; goals=; edges=edge_placeholder ; edge_placeholder,cycle_detected,state_121 -> action_440,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
length=2; goals=; edges=edge_placeholder ; edge_placeholder,cycle_detected,state_121 -> action_442,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
length=2; goals=; edges=edge_placeholder ; edge_placeholder,cycle_detected,state_121 -> action_444,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1983_p3.json,aime_1983_p3.json
FAILED action has r_env=1.0,failed_full_r_env,action_8,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_13,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_14,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_15,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_16,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_17,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_18,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_19,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_20,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_21,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_22,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_23,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_24,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_25,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
FAILED action has r_env=1.0,failed_full_r_env,action_27,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
FAILED action has r_env=1.0,failed_full_r_env,action_29,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
FAILED action has r_env=1.0,failed_full_r_env,action_50,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
action has empty extracted_lean_code,missing_extracted_code,action_63,outputs/rollouts/gemini3flash/miniF2F-valid-50/aime_1984_p7.json,aime_1984_p7.json
